,title,artist,genre,year,bpm,energy,dance,dB,duration,popularity
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,81,68,-4,169,50
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80,-5,198,50
261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,-9,160,49
262,Words as Weapons,Birdy,neo mellow,2014,120,35,53,-9,239,44
263,You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63,-7,224,38
264,Sheezus,Lily Allen,dance pop,2014,130,50,78,-7,235,37
265,Cannonball,Lea Michele,hollywood,2014,92,82,56,-3,215,37
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64,-9,230,30
267,I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74,-6,207,28
268,Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,-6,266,0
269,Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,282,84
270,I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,239,84
271,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,242,84
272,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,234,83
273,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,270,82
274,Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,242,81
275,Sugar,Maroon 5,pop,2015,120,79,75,-7,235,81
276,Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,201,81
277,FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,188,80
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,253,79
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,-6,252,79
280,What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,206,79
281,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,207,78
282,Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,208,77
283,My House,Flo Rida,dance pop,2015,94,70,69,-5,192,77
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,-9,208,77
285,Night Changes,One Direction,boy band,2015,120,52,67,-8,227,77
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,213,77
287,Never Forget You,Zara Larsson,dance pop,2015,146,73,58,-6,213,77
288,Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,-4,236,76
289,Animals,Maroon 5,pop,2015,190,74,28,-6,231,76
290,Blame,Calvin Harris,dance pop,2015,128,86,41,-4,213,76
291,Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,225,75
292,Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,215,75
293,Don't,Ed Sheeran,pop,2015,95,61,81,-7,220,74
294,Elastic Heart,Sia,australian dance,2015,130,79,42,-5,257,73
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,228,73
296,Hello,Adele,british soul,2015,158,45,48,-6,295,73
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,184,72
298,43776,Beyoncé,dance pop,2015,136,71,75,-5,214,72
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,227,72
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,193,72
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,218,72
302,Company,Justin Bieber,canadian pop,2015,95,80,59,-5,208,72
303,Sing,Ed Sheeran,pop,2015,120,67,82,-4,235,71
304,Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,222,70
305,Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,202,70
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,293,70
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,233,69
308,Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,199,69
309,Up,Olly Murs,dance pop,2015,115,85,69,-5,224,69
310,Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,217,69
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,213,69
312,Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,229,69
313,I Want You To Know,Zedd,complextro,2015,130,85,58,-3,240,68
314,Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,183,68
315,I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,200,68
316,Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,199,68
317,I Lived,OneRepublic,dance pop,2015,120,85,59,-5,235,67
318,Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,235,67
319,Easy Love,Sigala,dance pop,2015,124,94,68,-4,230,67
320,The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,245,67
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,205,66
322,BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,171,66
323,Sugar,Maroon 5,pop,2015,120,79,75,-7,235,66
324,Focus,Ariana Grande,dance pop,2015,100,88,67,-6,211,66
325,All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,189,65
326,On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,213,65
327,Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,198,65
328,Broken Arrows,Avicii,big room,2015,116,67,63,-7,233,65
329,Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,210,64
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,204,64
331,Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,134,63
332,Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,242,62
333,American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,320,61
334,Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,199,61
335,Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,159,61
336,Alive,Sia,australian dance,2015,100,76,51,-4,264,61
337,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,219,60
338,Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,199,60
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,189,58
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,230,56
341,Heroes (we could be),Alesso,big room,2015,126,75,52,-4,210,56
